original_link, question, status, msg, link
https://www.apple.com,What is the company's mission statement or core values?,notcompleted,,"['https://www.apple.com/compliance/', 'https://www.apple.com/contact/']"
https://www.apple.com,What products or services does the company offer?,completed,"Apple offers Mac, iPad, iPhone, Apple Watch, Apple Vision Pro, AirPods, Apple TV, Accessories, Apple One, Apple TV+, Apple Music, Apple Arcade, Apple Fitness+, Apple News+, Apple Podcasts, Apple Books, App Store, Apple Card, Apple Pay, and iCloud.",[]
https://www.apple.com,"When was the company founded, and who were the founders?",notcompleted,,['https://www.apple.com/leadership/']
https://www.apple.com,Where is the company's headquarters located?,completed,The provided text does not contain the company's headquarters address.,[]
https://www.apple.com,Who are the key executives or leadership team members?,completed,"Key executives include Tim Cook (CEO), Katherine Adams (Senior Vice President and General Counsel), Eddy Cue (Senior Vice President, Services), Craig Federighi (Senior Vice President, Software Engineering), John Giannandrea (Senior Vice President, Machine Learning and AI Strategy), Greg ""Joz"" Joswiak (Senior Vice President, Worldwide Marketing), Sabih Khan (Senior Vice President, Operations), Deirdre O’Brien (Senior Vice President, Retail + People), Kevan Parekh (Senior Vice President and Chief Financial Officer), Johny Srouji (Senior Vice President, Hardware Technologies), John Ternus (Senior Vice President, Hardware Engineering), Jeff Williams (Chief Operating Officer), Mike Fenger (Vice President, Worldwide Sales), Lisa Jackson (Vice President, Environment, Policy and Social Initiatives), Luca Maestri (Vice President, Corporate Services), Isabel Ge Mahe (Vice President and Managing Director of Greater China), Tor Myhren (Vice President, Marketing Communications), Adrian Perica (Vice President, Corporate Development), and Kristin Huguet Quayle (Vice President, Worldwide Communications). Phil Schiller is listed as an Apple Fellow.",[]
https://www.apple.com,Has the company received any notable awards or recognitions?,notcompleted,,['https://www.apple.com/newsroom/']
https://www.toyota-global.com,What is the company's mission statement or core values?,not completed,,"['/en/company/vision-and-philosophy/philosophy/', '/en/company/vision-and-philosophy/guiding-principles/', '/en/company/vision-and-philosophy/toyotaway_code-of-conduct/', '/en/company/vision-and-philosophy/global-vision/', '/en/company/vision-and-philosophy/toyota-group-vision/']"
https://www.toyota-global.com,What products or services does the company offer?,not completed,,"['/en/mobility/', '/en/mobility/beyond-zero/', '/en/mobility/beyond-zero/hydrogen.html', '/en/mobility/beyond-zero/battery.html', '/en/mobility/beyond-zero/bev.html', '/en/mobility/beyond-zero/hev.html', '/en/mobility/beyond-zero/phev.html', '/en/mobility/beyond-zero/cjpt.html', '/en/mobility/beyond-zero/motorsport.html', '/en/mobility/beyond-zero/fuel.html', '/en/mobility/beyond-zero/tohoku.html', '/en/mobility/case/', '/en/mobility/tnga/', '/en/mobility/safety/', '/en/mobility/frontier-research/', '/en/mobility/toyota-brand/gallery/', '/en/mobility/toyota-brand/features/', '/en/mobility/toyota-brand/toyota-design/', '/en/mobility/toyota-brand/features/emblem/', '/en/mobility/technology/lunarcruiser/']"
https://www.toyota-global.com,"When was the company founded, and who were the founders?",not completed,,['/en/company/trajectory-of-toyota/history/']
https://www.toyota-global.com,Where is the company's headquarters located?,not completed,,"['/en/company/profile/overview/', '/en/company/profile/facilities/', '/en/company/profile/links/', '/en/company/profile/toyota-group/']"
https://www.toyota-global.com,Who are the key executives or leadership team members?,not completed,,"['/en/company/profile/executives/', '/en/company/messages-from-executives/']"
https://www.toyota-global.com,Has the company received any notable awards or recognitions?,completed,Toyota awarded the Gold Prize in PRIDE INDEX 2024,[]
https://www.pfizer.com,What is the company's mission statement or core values?,completed,"Breakthroughs that change patients’ lives. The provided text also mentions a ""Purpose Blueprint 2.0"" focused on changing a billion lives a year by 2027, and emphasizes ethics and compliance.",[]
https://www.pfizer.com,What products or services does the company offer?,completed,"The company offers a wide range of biopharmaceutical products. Specific product details are not listed on the homepage, but links to product lists and information are provided.","['/products', '/products/product-list', '/products/information']"
https://www.pfizer.com,"When was the company founded, and who were the founders?",completed,"The company was founded in 1849. The founders' names are not explicitly mentioned in the provided text, but it states that Charles Pfizer and Charles Erhart founded the company.",['/about/history']
https://www.pfizer.com,Where is the company's headquarters located?,completed,"The provided text does not contain the company's headquarters address.  A 'Contact Us' link is provided, which might contain this information.",['/contact']
https://www.pfizer.com,Who are the key executives or leadership team members?,completed,"The key executives listed are: Dr. Albert Bourla (Chairman and Chief Executive Officer), Sally Susman (Chief Corporate Affairs Officer, Executive Vice President), Payal Sahni Becher (Chief People Experience Officer, Executive Vice President), Mike McDermott (Chief Global Supply and Quality Officer, Executive Vice President), Aamir Malik (Chief U.S. Commercial Officer, Executive Vice President), Doug Lankler (Chief Legal Officer, Executive Vice President), Lindsay Havern (Senior Vice President of Executive Operations and Chief of Staff and Counsel to the Chairman and CEO), Alexandre de Germay (Chief International Commercial Officer, Executive Vice President), Lidia Fonseca (Chief Digital and Technology Officer, Executive Vice President), Dave Denton (Chief Financial Officer and Executive Vice President), and Chris Boshoff (Chief Scientific Officer and President, Research & Development).",['/about/people/executives']
https://www.pfizer.com,Has the company received any notable awards or recognitions?,completed,"Yes.  The text mentions that Fortune magazine named Pfizer the world's most admired pharmaceutical company and Forbes magazine named Pfizer ""Company of the Year.""",[]
https://www.thewaltdisneycompany.com,What is the company's mission statement or core values?,completed,"The mission of The Walt Disney Company is to entertain, inform and inspire people around the globe through the power of unparalleled storytelling, reflecting the iconic brands, creative minds and innovative technologies that make ours the world’s premier entertainment company.",[]
https://www.thewaltdisneycompany.com,What products or services does the company offer?,completed,"The Walt Disney Company offers a diverse range of products and services across three core business segments: Disney Entertainment (film studios, television networks, streaming services like Disney+ and Hulu, theatrical productions), ESPN (sports networks, ESPN+), and Disney Experiences (theme parks, resorts, cruise line, vacation club, consumer products).  Specific examples include movies from Disney, Pixar, Marvel, and Lucasfilm; television shows from ABC, Disney Branded Television, FX, National Geographic; theme parks like Disneyland and Walt Disney World; and consumer products ranging from toys and apparel to books and video games.",[]
https://www.thewaltdisneycompany.com,"When was the company founded, and who were the founders?",completed,The Walt Disney Company was founded in 1923. The founders were brothers Walt and Roy Disney.,[]
https://www.thewaltdisneycompany.com,Where is the company's headquarters located?,notcompleted,,['https://thewaltdisneycompany.com/contact-us/']
